LR_TARGETL, LR_TARGETH, HR_TARGETL HR_TARGETH, L_EFFORT_PROB, L_EFFORT_MAG, H_EFFORT_PROB, H_EFFORT_MAG, TRIAL_TIME, HOVER_TIME #added last two columns
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
.15, .46, .49, .83, .40, 30, .6, 80
.15, .47, .51, .83, .40, 20, .6, 70
.15, .47, .49, .83, .40, 30, .6, 80
.16, .50, .52, .85, .40, 20, .6, 70
.15, .47, .49, .83, .40, 25, .6, 60
.15, .46, .49, .83, .40, 33, .6, 76
