Time,Force,Event
59.370994091,1.13663362875,fixation onset
60.4420099258,1.92019638612,trial onset
67.4335930347,1.57559648152,
68.2804629803,1.84364313142,
69.223580122,2.07484487774,
70.1396639347,2.23011050052,
71.1031029224,1.03300972532,
71.8737199306,2.23021019233,
77.5107889175,1.27841553867,fixation onset
78.5163989067,0.439034230498,trial onset
85.5015940666,1.84418188075,
86.4069950581,2.0330065115,
87.4377720356,1.0858722855,
88.3567271233,0.936346997175,
89.3923990726,1.96905140625,
90.1300070286,0.785664208686,
93.6349709034,1.44143283857,outcome
97.6961669922,1.19577768659,fixation onset
98.6987650394,0.658881315812,trial onset
105.608422995,0.774488720789,
106.475338936,1.01086797154,
107.35144496,1.45145256387,
108.2876091,1.85949252252,
109.219391108,0.84201886289,
109.95400095,0.380703665069,
115.535948038,1.45393833587,fixation onset
116.538526058,2.02388838386,trial onset
123.413275003,1.16015180813,
124.275688887,1.11375957787,
125.112319946,1.51796102811,
125.955127001,1.81162071492,
126.874068022,1.89353359042,
127.594922066,1.89700814992,
131.101004124,0.826483103482,outcome
135.171929121,1.76517933346,fixation onset
136.174823999,0.46666152819,trial onset
143.044959068,1.51080648985,
143.979310036,0.537625165833,
144.894431114,0.560113276828,
145.742567062,0.611528417593,
146.705465078,2.03657298501,
147.392656088,1.82288400304,
152.964406967,0.701453205372,fixation onset
153.966452122,1.51219478247,trial onset
160.603562117,1.73210729582,
161.205271959,2.08950504423,
161.810324907,0.797814573752,
162.42487812,1.12919830625,
163.044717073,0.913735904028,
163.526979923,1.80297711022,
167.03122592,2.21587305166,outcome
171.070415974,1.23500790988,fixation onset
172.07270503,2.2005691805,trial onset
178.814373016,0.737053600158,
179.711636066,0.467795062132,
180.564102888,0.824060101097,
181.444886923,0.861367320212,
182.353501081,0.881158687636,
183.012984037,1.22914865909,
188.595410109,1.39684294566,fixation onset
189.597772121,1.84983310746,trial onset
196.554308891,1.46163120481,
197.420341015,0.888115782533,
198.298202991,0.78933717428,
199.147579908,1.0986190921,
200.067099094,0.911438764307,
200.749299049,0.630597354992,
204.25481391,0.96283991642,outcome
208.360404968,1.56625594609,fixation onset
209.387712955,1.73495919131,trial onset
216.246706009,1.00099797327,
217.123733997,0.24804115553,
218.058026075,1.04597686525,
218.993124008,0.959295464953,
219.562510967,2.16114293655,
220.021011114,1.74447767326,
223.525401115,0.634054019206,outcome
227.58175993,1.87037947513,fixation onset
228.583748102,0.495879559681,trial onset
235.457732916,0.903372827548,
236.37334609,1.39660734433,
237.270560026,1.20867702,
238.126930952,2.12839967182,
238.991221905,0.789923874562,
239.632474899,0.53236517156,
245.209091902,1.62915191482,fixation onset
246.210872889,1.00491925055,trial onset
253.137317896,1.87453342063,
254.021722078,1.50074469221,
255.017868042,1.39183416454,
256.008932114,1.26162709933,
256.936929941,1.67499124419,
257.664808035,0.373528121464,
261.170656919,0.643638185407,outcome
265.224023104,1.42456126659,fixation onset
266.225650072,0.583649681852,trial onset
273.06338191,0.301308387337,
273.949139118,1.46314044276,
274.866559982,2.18606461895,
275.724340916,0.523321553779,
276.610606909,0.48861481263,
277.315284014,2.1718971101,
282.882158995,0.841628896537,fixation onset
283.884552956,0.30019303238,trial onset
290.74316597,1.99714640078,
291.59614706,0.732569935553,
292.439743042,1.30123455052,
293.303714037,1.24419065649,
294.151509047,1.95556939937,
294.802304029,0.788102552523,
298.306163073,0.908166409467,outcome
302.369601965,0.603270475775,fixation onset
303.371557951,1.30640313434,trial onset
310.230844021,1.89502257289,
311.060808897,1.13613840518,
311.925930977,2.15605923714,
312.757407904,0.852825446928,
313.655673981,0.322614693472,
314.369313002,1.46131154974,
319.945198059,1.96639778957,fixation onset
320.946629047,0.891908824511,trial onset
327.804522038,0.914174200014,
328.637166023,2.02718411198,
329.520308018,1.94849726932,
330.348298073,0.720219737364,
331.231570005,1.42036274129,
331.88883996,1.89964029719,
335.394638062,0.685553033395,outcome
339.448034048,1.80445213933,fixation onset
340.449578047,1.20454338936,trial onset
347.286307096,1.04554498895,
348.128633022,0.711654162839,
348.971131086,1.53244960702,
349.808275938,0.670106550011,
350.672904968,0.929007621279,
351.371814966,2.09833118693,
356.942018986,0.901118899607,fixation onset
357.944293976,2.1452735603,trial onset
364.823308945,0.912809551335,
365.664340019,0.30656728059,
366.579627991,1.87984543742,
367.477719069,1.35271417884,
368.396354914,0.342378591805,
369.074031115,1.22621863619,
372.579360962,0.55969099294,outcome
